queue_id	source_type	language	title	author	source_path	status
fiction_en:frankenstein	fiction	en	Frankenstein; Or, The Modern Prometheus	Mary Wollstonecraft Shelley	corpus/raw/gutenberg/frankenstein.txt	full_text
fiction_en:moby-dick	fiction	en	Moby-Dick; Or, The Whale	Herman Melville	corpus/raw/gutenberg/moby-dick.txt	full_text
fiction_en:pride-and-prejudice	fiction	en	Pride and Prejudice	Jane Austen	corpus/raw/gutenberg/pride-and-prejudice.txt	full_text
fiction_en:crime-and-punishment	fiction	en	Crime and Punishment	Fyodor Dostoyevsky	corpus/raw/gutenberg/crime-and-punishment.txt	full_text
fiction_en:jane-eyre	fiction	en	Jane Eyre	Charlotte Bronte	corpus/raw/gutenberg/jane-eyre.txt	full_text
fiction_en:dracula	fiction	en	Dracula	Bram Stoker	corpus/raw/gutenberg/dracula.txt	full_text
fiction_en:little-women	fiction	en	Little Women	Louisa May Alcott	corpus/raw/gutenberg/little-women.txt	full_text
fiction_en:huckleberry-finn	fiction	en	Adventures of Huckleberry Finn	Mark Twain	corpus/raw/gutenberg/huckleberry-finn.txt	full_text
fiction_en:a-tale-of-two-cities	fiction	en	A Tale of Two Cities	Charles Dickens	corpus/raw/gutenberg/a-tale-of-two-cities.txt	full_text
fiction_en:great-expectations	fiction	en	Great Expectations	Charles Dickens	corpus/raw/gutenberg/great-expectations.txt	full_text
fiction_en:count-of-monte-cristo	fiction	en	The Count of Monte Cristo	Alexandre Dumas	corpus/raw/gutenberg/count-of-monte-cristo.txt	full_text
fiction_en:les-miserables	fiction	en	Les Miserables	Victor Hugo	corpus/raw/gutenberg/les-miserables.txt	full_text
fiction_en:war-and-peace	fiction	en	War and Peace	Leo Tolstoy	corpus/raw/gutenberg/war-and-peace.txt	full_text
fiction_en:anna-karenina	fiction	en	Anna Karenina	Leo Tolstoy	corpus/raw/gutenberg/anna-karenina.txt	full_text
fiction_en:brothers-karamazov	fiction	en	The Brothers Karamazov	Fyodor Dostoyevsky	corpus/raw/gutenberg/brothers-karamazov.txt	full_text
fiction_en:don-quixote	fiction	en	Don Quixote	Miguel de Cervantes Saavedra	corpus/raw/gutenberg/don-quixote.txt	full_text
fiction_en:gullivers-travels	fiction	en	Gulliver's Travels	Jonathan Swift	corpus/raw/gutenberg/gullivers-travels.txt	full_text
fiction_en:robinson-crusoe	fiction	en	Robinson Crusoe	Daniel Defoe	corpus/raw/gutenberg/robinson-crusoe.txt	full_text
fiction_en:emma	fiction	en	Emma	Jane Austen	corpus/raw/gutenberg/emma.txt	full_text
fiction_en:sense-and-sensibility	fiction	en	Sense and Sensibility	Jane Austen	corpus/raw/gutenberg/sense-and-sensibility.txt	full_text
