artifact_id	queue_id	source_type	language	title	author	source_path	artifact_path	status
fiction_en-frankenstein	fiction_en:frankenstein	fiction	en	Frankenstein; Or, The Modern Prometheus	Mary Wollstonecraft Shelley	corpus/raw/gutenberg/frankenstein.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-frankenstein.md	pending_extraction
fiction_en-moby-dick	fiction_en:moby-dick	fiction	en	Moby-Dick; Or, The Whale	Herman Melville	corpus/raw/gutenberg/moby-dick.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-moby-dick.md	pending_extraction
fiction_en-pride-and-prejudice	fiction_en:pride-and-prejudice	fiction	en	Pride and Prejudice	Jane Austen	corpus/raw/gutenberg/pride-and-prejudice.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-pride-and-prejudice.md	pending_extraction
fiction_en-crime-and-punishment	fiction_en:crime-and-punishment	fiction	en	Crime and Punishment	Fyodor Dostoyevsky	corpus/raw/gutenberg/crime-and-punishment.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-crime-and-punishment.md	pending_extraction
fiction_en-jane-eyre	fiction_en:jane-eyre	fiction	en	Jane Eyre	Charlotte Bronte	corpus/raw/gutenberg/jane-eyre.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-jane-eyre.md	pending_extraction
fiction_en-dracula	fiction_en:dracula	fiction	en	Dracula	Bram Stoker	corpus/raw/gutenberg/dracula.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-dracula.md	pending_extraction
fiction_en-little-women	fiction_en:little-women	fiction	en	Little Women	Louisa May Alcott	corpus/raw/gutenberg/little-women.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-little-women.md	pending_extraction
fiction_en-huckleberry-finn	fiction_en:huckleberry-finn	fiction	en	Adventures of Huckleberry Finn	Mark Twain	corpus/raw/gutenberg/huckleberry-finn.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-huckleberry-finn.md	pending_extraction
fiction_en-a-tale-of-two-cities	fiction_en:a-tale-of-two-cities	fiction	en	A Tale of Two Cities	Charles Dickens	corpus/raw/gutenberg/a-tale-of-two-cities.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-a-tale-of-two-cities.md	pending_extraction
fiction_en-great-expectations	fiction_en:great-expectations	fiction	en	Great Expectations	Charles Dickens	corpus/raw/gutenberg/great-expectations.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-great-expectations.md	pending_extraction
fiction_en-count-of-monte-cristo	fiction_en:count-of-monte-cristo	fiction	en	The Count of Monte Cristo	Alexandre Dumas	corpus/raw/gutenberg/count-of-monte-cristo.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-count-of-monte-cristo.md	pending_extraction
fiction_en-les-miserables	fiction_en:les-miserables	fiction	en	Les Miserables	Victor Hugo	corpus/raw/gutenberg/les-miserables.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-les-miserables.md	pending_extraction
fiction_en-war-and-peace	fiction_en:war-and-peace	fiction	en	War and Peace	Leo Tolstoy	corpus/raw/gutenberg/war-and-peace.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-war-and-peace.md	pending_extraction
fiction_en-anna-karenina	fiction_en:anna-karenina	fiction	en	Anna Karenina	Leo Tolstoy	corpus/raw/gutenberg/anna-karenina.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-anna-karenina.md	pending_extraction
fiction_en-brothers-karamazov	fiction_en:brothers-karamazov	fiction	en	The Brothers Karamazov	Fyodor Dostoyevsky	corpus/raw/gutenberg/brothers-karamazov.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-brothers-karamazov.md	pending_extraction
fiction_en-don-quixote	fiction_en:don-quixote	fiction	en	Don Quixote	Miguel de Cervantes Saavedra	corpus/raw/gutenberg/don-quixote.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-don-quixote.md	pending_extraction
fiction_en-gullivers-travels	fiction_en:gullivers-travels	fiction	en	Gulliver's Travels	Jonathan Swift	corpus/raw/gutenberg/gullivers-travels.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-gullivers-travels.md	pending_extraction
fiction_en-robinson-crusoe	fiction_en:robinson-crusoe	fiction	en	Robinson Crusoe	Daniel Defoe	corpus/raw/gutenberg/robinson-crusoe.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-robinson-crusoe.md	pending_extraction
fiction_en-emma	fiction_en:emma	fiction	en	Emma	Jane Austen	corpus/raw/gutenberg/emma.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-emma.md	pending_extraction
fiction_en-sense-and-sensibility	fiction_en:sense-and-sensibility	fiction	en	Sense and Sensibility	Jane Austen	corpus/raw/gutenberg/sense-and-sensibility.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-sense-and-sensibility.md	pending_extraction
fiction_en-mansfield-park	fiction_en:mansfield-park	fiction	en	Mansfield Park	Jane Austen	corpus/raw/gutenberg/mansfield-park.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-mansfield-park.md	pending_extraction
fiction_en-persuasion	fiction_en:persuasion	fiction	en	Persuasion	Jane Austen	corpus/raw/gutenberg/persuasion.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-persuasion.md	pending_extraction
fiction_en-northanger-abbey	fiction_en:northanger-abbey	fiction	en	Northanger Abbey	Jane Austen	corpus/raw/gutenberg/northanger-abbey.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-northanger-abbey.md	pending_extraction
fiction_en-wuthering-heights	fiction_en:wuthering-heights	fiction	en	Wuthering Heights	Emily Bronte	corpus/raw/gutenberg/wuthering-heights.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-wuthering-heights.md	pending_extraction
fiction_en-middlemarch	fiction_en:middlemarch	fiction	en	Middlemarch	George Eliot	corpus/raw/gutenberg/middlemarch.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-middlemarch.md	pending_extraction
fiction_en-silas-marner	fiction_en:silas-marner	fiction	en	Silas Marner	George Eliot	corpus/raw/gutenberg/silas-marner.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-silas-marner.md	pending_extraction
fiction_en-mill-on-the-floss	fiction_en:mill-on-the-floss	fiction	en	The Mill on the Floss	George Eliot	corpus/raw/gutenberg/mill-on-the-floss.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-mill-on-the-floss.md	pending_extraction
fiction_en-madame-bovary	fiction_en:madame-bovary	fiction	en	Madame Bovary	Gustave Flaubert	corpus/raw/gutenberg/madame-bovary.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-madame-bovary.md	pending_extraction
fiction_en-picture-of-dorian-gray	fiction_en:picture-of-dorian-gray	fiction	en	The Picture of Dorian Gray	Oscar Wilde	corpus/raw/gutenberg/picture-of-dorian-gray.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-picture-of-dorian-gray.md	pending_extraction
fiction_en-jekyll-hyde	fiction_en:jekyll-hyde	fiction	en	The Strange Case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	corpus/raw/gutenberg/jekyll-hyde.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-jekyll-hyde.md	pending_extraction
fiction_en-treasure-island	fiction_en:treasure-island	fiction	en	Treasure Island	Robert Louis Stevenson	corpus/raw/gutenberg/treasure-island.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-treasure-island.md	pending_extraction
fiction_en-tom-sawyer	fiction_en:tom-sawyer	fiction	en	The Adventures of Tom Sawyer	Mark Twain	corpus/raw/gutenberg/tom-sawyer.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-tom-sawyer.md	pending_extraction
fiction_en-wizard-of-oz	fiction_en:wizard-of-oz	fiction	en	The Wonderful Wizard of Oz	L. Frank Baum	corpus/raw/gutenberg/wizard-of-oz.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-wizard-of-oz.md	pending_extraction
fiction_en-time-machine	fiction_en:time-machine	fiction	en	The Time Machine	H. G. Wells	corpus/raw/gutenberg/time-machine.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-time-machine.md	pending_extraction
fiction_en-war-of-the-worlds	fiction_en:war-of-the-worlds	fiction	en	The War of the Worlds	H. G. Wells	corpus/raw/gutenberg/war-of-the-worlds.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-war-of-the-worlds.md	pending_extraction
fiction_en-island-of-doctor-moreau	fiction_en:island-of-doctor-moreau	fiction	en	The Island of Doctor Moreau	H. G. Wells	corpus/raw/gutenberg/island-of-doctor-moreau.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-island-of-doctor-moreau.md	pending_extraction
fiction_en-invisible-man	fiction_en:invisible-man	fiction	en	The Invisible Man	H. G. Wells	corpus/raw/gutenberg/invisible-man.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-invisible-man.md	pending_extraction
fiction_en-heart-of-darkness	fiction_en:heart-of-darkness	fiction	en	Heart of Darkness	Joseph Conrad	corpus/raw/gutenberg/heart-of-darkness.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-heart-of-darkness.md	pending_extraction
fiction_en-secret-agent	fiction_en:secret-agent	fiction	en	The Secret Agent	Joseph Conrad	corpus/raw/gutenberg/secret-agent.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-secret-agent.md	pending_extraction
